Tag,出现次数,中文描述,权重,类别,类别名称
base,45884,基础,0.06,6,学科与概念（Concept & Subject）
topic,24357,专题,0.506,6,学科与概念（Concept & Subject）
film,18715,胶片,4.5475,4,创作与娱乐作品（Creative Work）
location,17935,地点,4.358,3,地点与地理（Location）
award,14202,裁决,0.4509,4,创作与娱乐作品（Creative Work）
people,12021,人员,2.9209,1,人物与生命（Person & Life）
user,11601,用户,2.8189,1,人物与生命（Person & Life）
tv,8252,电视,2.0051,7,物品与产品（Product & Object）
music,7737,音乐,1.88,4,创作与娱乐作品（Creative Work）
organization,5935,组织,2.4421,2,组织与机构（Organization）
narphorium,5104,ium,1.2402,7,物品与产品（Product & Object）
schemastaging,4771,计划,1.1593,7,物品与产品（Product & Object）
person,4642,人员,2.1279,1,人物与生命（Person & Life）
popstra,4370,流行音乐,1.0619,4,创作与娱乐作品（Creative Work）
book,4242,书本,3.0307,4,创作与娱乐作品（Creative Work）
media_common,4163,媒体  常见,1.0116,4,创作与娱乐作品（Creative Work）
award_nominee,4084,授予( N),2.9924,1,人物与生命（Person & Life）
award_winner,3599,获奖者( W),2.8745,1,人物与生命（Person & Life）
business,3504,商业,0.8514,6,学科与概念（Concept & Subject）
actor,3427,演员,3.8327,1,人物与生命（Person & Life）
aareas,3409,a 区域,0.8283,3,地点与地理（Location）
schema,3375,计划,0.8201,7,物品与产品（Product & Object）
tv_actor,3130,tv 显示器,3.7605,1,人物与生命（Person & Life）
default_domain,3084,默认区域,0.7494,3,地点与地理（Location）
artist,3023,艺术家,0.7345,1,人物与生命（Person & Life）
person_or_entity_appearing_in_film,2933,个人 或实体 出现 在 电影,0.7127,1,人物与生命（Person & Life）
influence,2716,影响,0.66,6,学科与概念（Concept & Subject）
influence_node,2716,影响( Node),0.66,6,学科与概念（Concept & Subject）
education,2631,学历,0.6393,8,属性与度量（Attribute & Measurement）
sports,2567,运动,0.6237,5,事件与活动（Event）
nndb_person,2446,nndb 个人,0.5943,1,人物与生命（Person & Life）
ontologies,2421,肿瘤,0.5883,6,学科与概念（Concept & Subject）
statistical_region,2408,统计 区域,0.5851,3,地点与地理（Location）
dated_location,2398,日期( L),0.5827,3,地点与地理（Location）
ontology_instance,2380,肿瘤学( N),0.5783,6,学科与概念（Concept & Subject）
book_subject,2334,书目 主题,0.5671,8,属性与度量（Attribute & Measurement）
producer,2255,生产商,0.5479,2,组织与机构（Organization）
celebrity,2161,名人笔记,0.5251,4,创作与娱乐作品（Creative Work）
award_nominated_work,1980,获奖 提名 工作,0.4811,4,创作与娱乐作品（Creative Work）
ranked_item,1932,排序( R),0.4695,7,物品与产品（Product & Object）
netflix_title,1927,净flix 标题,0.4682,4,创作与娱乐作品（Creative Work）
employer,1807,雇主,0.4391,1,人物与生命（Person & Life）
citytown,1632,城镇,0.3966,3,地点与地理（Location）
fictional_universe,1610,虚构单向,0.3912,4,创作与娱乐作品（Creative Work）
award_winning_work,1565,获奖  工作,0.3803,4,创作与娱乐作品（Creative Work）
administrative_area,1551,行政区域,0.3769,3,地点与地理（Location）
author,1531,作者,0.372,1,人物与生命（Person & Life）
government,1498,政府,0.364,2,组织与机构（Organization）
periodicals,1489,期刊,0.3618,7,物品与产品（Product & Object）
newspaper_circulation_area,1489,报纸( C),0.3618,3,地点与地理（Location）
biblioness,1479,双曲线,0.3594,8,属性与度量（Attribute & Measurement）
wfilmbase,1414,胶片库,0.3436,7,物品与产品（Product & Object）
group_member,1408,组 成员,0.3421,1,人物与生命（Person & Life）
sww_base,1369,湿度( B),0.3326,8,属性与度量（Attribute & Measurement）
tagit,1355,标签,0.3292,6,学科与概念（Concept & Subject）
broadcast,1306,广播,0.3173,4,创作与娱乐作品（Creative Work）
saturdaynightlive,1272,周六夜间生活,0.3091,4,创作与娱乐作品（Creative Work）
administrative_division,1237,行政区划,0.3006,3,地点与地理（Location）
writer,1236,编剧,0.3003,1,人物与生命（Person & Life）
deceased_person,1182,已死亡人员,0.2872,1,人物与生命（Person & Life）
military,1168,军事,0.2838,6,学科与概念（Concept & Subject）
americancomedy,1161,美国喜剧,0.2821,4,创作与娱乐作品（Creative Work）
robert,1151,罗伯特,0.2797,1,人物与生命（Person & Life）
director,1142,导演,0.2775,1,人物与生命（Person & Life）
internet,1092,互联网,0.2653,6,学科与概念（Concept & Subject）
symbols,1084,符号,0.2634,6,学科与概念（Concept & Subject）
theater,1074,剧场,0.261,3,地点与地理（Location）
travel,1047,旅费,0.2544,5,事件与活动（Event）
concept,1025,概念,0.2491,6,学科与概念（Concept & Subject）
sports_team,1003,运动团队,2.2437,2,组织与机构（Organization）
alust,984,忧郁,0.2391,9,其他（Others）
processed_with_review_queue,984,已处理( W),0.2391,7,物品与产品（Product & Object）
hud_foreclosure_area,973,屏蔽  取消赎回  区域,0.2364,3,地点与地理（Location）
travel_destination,967,旅行( 目的地),0.235,3,地点与地理（Location）
tv_personality,955,tv 个性,0.2321,4,创作与娱乐作品（Creative Work）
bibs_location,910,bibs 位置( L),0.2211,3,地点与地理（Location）
composer,904,编曲,0.2197,1,人物与生命（Person & Life）
adaptation,902,适应,0.2192,4,创作与娱乐作品（Creative Work）
social_network_user,890,社会 网络 用户,0.2163,1,人物与生命（Person & Life）
context_name,873,上下文名称,0.2121,6,学科与概念（Concept & Subject）
medicine,861,药,0.2092,7,物品与产品（Product & Object）
celebrities,857,名人间,0.2082,8,属性与度量（Attribute & Measurement）
sports_team_extra,854,运动( T),1.2075,2,组织与机构（Organization）
soccer,849,足球,0.2063,7,物品与产品（Product & Object）
football_team,847,足球队,2.2058,2,组织与机构（Organization）
allthingsnewyork,835,"所有东西,纽约克",0.2029,3,地点与地理（Location）
tv_producer,828,tv 生产者,0.2012,2,组织与机构（Organization）
academyawards,781,学士学位,0.1898,6,学科与概念（Concept & Subject）
governmental_jurisdiction,777,政府管辖权,0.1888,6,学科与概念（Concept & Subject）
educational_institution,764,教育机构,0.1856,2,组织与机构（Organization）
tv_program_guest,750,tv program 客户端,0.1822,7,物品与产品（Product & Object）
organization_founder,744,组织创建者,0.1808,1,人物与生命（Person & Life）
business_operation,723,运营,0.1757,5,事件与活动（Event）
university,719,大学,2.1747,2,组织与机构（Organization）
skosbase,718,skosbase (英语).,0.1745,3,地点与地理（Location）
music_contributor,707,音乐( C),0.1718,1,人物与生命（Person & Life）
sports_team_location,688,运动   团队  位置,1.1672,3,地点与地理（Location）
film_story_contributor,671,胶片 故事 贡献者,0.163,1,人物与生命（Person & Life）
educational_institution_campus,669,教育 机构 校园,0.1626,2,组织与机构（Organization）
capital_of_administrative_division,636,首府 行政区划,0.1545,2,组织与机构（Organization）
theater_actor,612,剧场( A),0.1487,1,人物与生命（Person & Life）
person_extra,603,外部单词,0.1465,1,人物与生命（Person & Life）
lyricist,600,语言学家,0.1458,1,人物与生命（Person & Life）
film_location,594,胶片位置( I),0.1443,3,地点与地理（Location）
tv_writer,576,tv 写入器,0.14,1,人物与生命（Person & Life）
hud_county_place,573,hud 县 地点,0.1392,3,地点与地理（Location）
film_subject,572,胶片 主题,0.139,4,创作与娱乐作品（Creative Work）
tsegaran,571,锡加兰,0.1387,3,地点与地理（Location）
bibs_topic,569,Bibs 专题,0.1383,4,创作与娱乐作品（Creative Work）
skud,565,骷髅,0.1373,7,物品与产品（Product & Object）
greatfilms,561,大电影,0.1363,4,创作与娱乐作品（Creative Work）
cvg,556,页:1,0.1351,6,学科与概念（Concept & Subject）
endowed_organization,556,赋予组织( O),0.1351,2,组织与机构（Organization）
tv_program_creator,553,tv 程序创建器,0.1344,1,人物与生命（Person & Life）
earth,538,土质,0.1307,7,物品与产品（Product & Object）
